,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
21667,285877,15468,2258,1445,False,False,29
21668,402259,1305,85,116,False,False,10
21669,269834,5733,166,632,False,False,12
21670,335308,1213,188,88,False,False,24
21671,1044503,19851,1377,1196,False,False,19
21672,287844,1482,297,160,False,False,14
21673,479709,8104,907,834,False,False,10
21674,179409,1614,92,33,False,False,24
21675,668648,2817,196,167,False,False,23
21676,6069634,110745,2526,9297,False,False,17
21677,199412,236,44,14,False,False,10
21678,412013,2530,300,443,False,False,33
21679,357827,3093,315,838,False,False,19
21680,1355911,7193,1006,0,True,False,12
21681,245666,1169,134,79,False,False,11
21682,97510,519,17,16,False,False,10
21683,463483,21123,1287,6192,False,False,9
21684,68168,4556,154,678,False,False,49
21685,84009,3107,168,846,False,False,6
21686,2297252,59290,4159,3483,False,False,26
21687,58028,229,25,5,False,False,10
21688,685077,0,0,1183,False,True,25
21689,488888,4503,554,509,False,False,22
21690,168985,570,82,33,False,False,27
21691,262197,967,146,72,False,False,9
21692,28524,831,21,0,True,False,2
21693,334352,5606,833,956,False,False,24
21694,670908,3562,566,530,False,False,14
21695,361642,1080,193,299,False,False,9
21696,758664,17903,1354,1709,False,False,14
21697,387968,5033,594,784,False,False,18
21698,657513,1209,827,199,False,False,20
21699,352635,1066,250,247,False,False,15
21700,168052,3027,340,256,False,False,17
21701,353408,5010,1211,670,False,False,22
21702,51367,5436,36,548,False,False,16
21703,57007,2050,85,85,False,False,10
21704,136249,3087,157,1207,False,False,14
21705,124630,246,65,14,False,False,23
21706,64524,253,16,94,False,False,10
21707,675673,2675,542,1337,False,False,5
21708,233265,2859,120,126,False,False,16
21709,75253,2317,3300,742,False,False,1
21710,106836,1283,48,37,False,False,17
21711,156554,0,0,671,False,True,10
21712,1787797,85278,2818,10409,False,False,9
21713,91575,243,31,18,False,False,28
21714,57944,231,25,10,False,False,13
21715,182512,916,123,78,False,False,27
21716,180610,1651,87,3,False,False,18
21717,99726,1627,82,145,False,False,8
21718,102443,188,20,7,False,False,10
21719,36783,0,0,17,False,True,6
21720,1933020,12487,1215,525,False,False,6
21721,1847439,17293,1333,2685,False,False,34
21722,199557,615,57,23,False,False,10
21723,1583581,12076,664,0,True,False,21
21724,750437,7363,662,571,False,False,45
21725,327537,972,288,420,False,False,10
21726,215710,560,186,233,False,False,17
21727,164534,1504,119,102,False,False,8
21728,193956,979,164,28,False,False,26
21729,430399,2243,466,127,False,False,15
21730,173981,10445,365,1046,False,False,10
21731,308256,7912,128,358,False,False,18
21732,138389,1723,112,102,False,False,28
21733,72182,437,25,15,False,False,20
21734,243745,25425,711,3948,False,False,42
21735,100747,447,61,34,False,False,35
